"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
503,"Heiße Grüße aus Prag","MDR","07.7.2002","Ehrlicher und Kain",29,"Horst Freund","Sylvia Hoffman",""
504,"Elvis lebt!","ORF","11.7.2002","Eisner",8,"Felix Mitterer","Peter Sämann","Erstausstrahlung am 2. Dezember 2001 auf ORF 2. Erstsendung als Tatort auf Das Erste an einem Donnerstag. Erst nach der Erstausstrahlung zum Tatort umgewidmet."
505,"Bienzle und der süße Tod","SWR","14.7.2002","Bienzle",16,"Felix Huby, Zoran Solomun","Arend Agthe",""
506,"Schatten","Radio Bremen","28.7.2002","Lürsen und Stedefreund",8,"Thorsten Näter","Thorsten Näter","Nominiert für den Adolf-Grimme-Preis und den Fernsehfilmpreis der Deutschen Akademie der Darstellenden Künste"
507,"Flashback","SWR","11.8.2002","Odenthal und Kopper",26,"Martin Pristl, Johannes W. Betz","Matthias Glasner",""
508,"Filmriss","SFB","18.8.2002","Ritter und Stark",11,"Horst Freund","Ralph Bohn",""
509,"Verrat","WDR","01.9.2002","Ballauf und Schenk",21,"Horst Vocks","Hans Noever",""
510,"Totentanz","BR","13.10.2002","Batic und Leitmayr",32,"Klaus Bädekerl","Thomas Freundner",""
511,"Der dunkle Fleck","WDR","20.10.2002","Thiel und Boerne",1,"Stefan Cantz, Jan Hinter","Peter F. Bringmann",""
512,"Undercover","NDR","27.10.2002","Casstorff und Holicek",4,"Thomas Bohn","Thomas Bohn",""
513,"1000 Tode","SWR","03.11.2002","Blum",2,"Dorothee Schön","Jobst Oetzmann","Deutscher Kamerapreis 2003 (Fernsehfilm) an Jürgen Carle"
514,"Rückspiel","WDR","10.11.2002","Ballauf und Schenk",22,"Wolfgang Panzer","Kaspar Heidelbach",""
515,"Der Fremdwohner","BR","17.11.2002","Batic und Leitmayr",33,"Markus Fenner","Peter Fratzscher",""
516,"Alibi für Amelie","SR","24.11.2002","Palu",14,"Felix Huby","Hans-Christoph Blumenberg","Gastauftritt von Fernsehkoch Vincent Klink"
517,"Fakten, Fakten …","WDR","01.12.2002","Thiel und Boerne",2,"Wolfgang Panzer","Susanne Zanke",""
518,"Zartbitterschokolade","SFB","15.12.2002","Ritter und Stark",12,"Gerhard J. Rekel","Erhard Riedlsperger",""
519,"Time-Out","SRF","22.12.2002","von Burg und Gertsch",9,"Peter Purtschert, Stefan Witschi","Bernhard Giger","Erstausstrahlung in Österreich und der Schweiz bereits am 23. September 2001. Letzter Fall dieses Ermittlerteams."
520,"Reise ins Nichts","SR","29.12.2002","Palu",15,"Peter Zingler, Hartmut Griesmayr, Ute Geber","Hartmut Griesmayr",""
521,"Romeo und Julia","SWR","05.1.2003","Odenthal und Kopper",27,"Harald Göckeritz","Nicole Weegmann","Günter-Strack-Fernsehpreis 2003 an Denis Moschitto"
522,"Rotkäppchen","MDR","12.1.2003","Ehrlicher und Kain",31,"Fred Breinersdorfer","Hajo Gies",""
523,"Stiller Tod","SWR","26.1.2003","Blum",3,"Martina Brand, Dorothee Schön","Richard Huber",""
524,"Die Liebe und ihr Preis","SFB","09.2.2003","Ritter und Stark",13,"Andreas Pflüger","Erhard Riedlsperger","Gastauftritte von Bernd Schiphorst und Jürgen Fliege"
525,"Bienzle und der Tod im Teig","SWR","02.3.2003","Bienzle",17,"Felix Huby","Hartmut Griesmayr","Gastauftritt von Justizminister Ulrich Goll"
526,"Frauenmorde","HR","09.3.2003","Dellwo und Sänger",2,"Niki Stein","Niki Stein",""
